id    x    y   z   n_H   flux   x_ion
0  0.5 0.5 0.5 0.001 5. 0
1  0.186915 0.95104 0.545436 0.001 0 0
2  0.0746261 0.229219 0.522971 0.001 0 0
3  0.0927676 0.511819 0.339205 0.001 0 0
4  0.793816 0.00488072 0.342925 0.001 0 0
5  0.296411 0.933765 0.208253 0.001 0 0
6  0.0223858 0.256051 0.684481 0.001 0 0
7  0.983118 0.441584 0.933748 0.001 0 0
8  0.693946 0.493742 0.460277 0.001 0 0
9  0.975763 0.23866 0.911152 0.001 0 0
10 0.632069 0.57418 0.81995 0.001 0 0
11 0.0148081 0.173175 0.237322 0.001 0 0
12 0.567115 0.994338 0.304411 0.001 0 0
13 0.676358 0.243741 0.106109 0.001 0 0
14 0.0970543 0.239861 0.827054 0.001 0 0
15 0.189643 0.515203 0.213406 0.001 0 0
16 0.294271 0.976565 0.454941 0.001 0 0
17 0.0313216 0.949262 0.977815 0.001 0 0
18 0.97677 0.762555 0.815667 0.001 0 0
19 0.585982 0.449291 0.812373 0.001 0 0
20 0.123903 0.753521 0.885067 0.001 0 0
21 0.4127 0.582657 0.0157107 0.001 0 0
22 0.922243 0.836705 0.379644 0.001 0 0
23 0.826184 0.861713 0.0546418 0.001 0 0
24 0.749655 0.830906 0.541321 0.001 0 0
25 0.874386 0.712243 0.533035 0.001 0 0
26 0.106035 0.850148 0.64355 0.001 0 0
27 0.892869 0.610455 0.529535 0.001 0 0
28 0.647644 0.443857 0.843893 0.001 0 0
29 0.183494 0.183003 0.843662 0.001 0 0
30 0.0104205 0.582694 0.193311 0.001 0 0
31 0.617855 0.137788 0.121207 0.001 0 0
32 0.903025 0.0529453 0.23683 0.001 0 0
33 0.875397 0.162386 0.832628 0.001 0 0
34 0.584955 0.73975 0.0105425 0.001 0 0
35 0.138426 0.928468 0.619878 0.001 0 0
36 0.272684 0.157585 0.813341 0.001 0 0
37 0.0851146 0.758292 0.212162 0.001 0 0
38 0.170424 0.550379 0.475353 0.001 0 0
39 0.719826 0.541168 0.368028 0.001 0 0
40 0.20054 0.470126 0.682046 0.001 0 0
41 0.384293 0.00652819 0.498559 0.001 0 0
42 0.175558 0.447699 0.436073 0.001 0 0
43 0.646584 0.546345 0.715148 0.001 0 0
44 0.432205 0.613918 0.9621 0.001 0 0
45 0.0327668 0.729959 0.339359 0.001 0 0
46 0.183233 0.896226 0.454594 0.001 0 0
47 0.919916 0.801946 0.0980379 0.001 0 0
48 0.891875 0.274598 0.0755214 0.001 0 0
49 0.798502 0.615318 0.500423 0.001 0 0
50 0.6656 0.772665 0.117241 0.001 0 0
51 0.124335 0.552452 0.939201 0.001 0 0
52 0.476994 0.804733 0.55563 0.001 0 0
53 0.641301 0.806237 0.439322 0.001 0 0
54 0.493849 0.246761 0.767079 0.001 0 0
55 0.675191 0.0705311 0.443857 0.001 0 0
56 0.324145 0.0445183 0.47397 0.001 0 0
57 0.74032 0.408244 0.282109 0.001 0 0
58 0.808771 0.230863 0.56688 0.001 0 0
59 0.932102 0.66973 0.869387 0.001 0 0
60 0.257175 0.103303 0.529318 0.001 0 0
61 0.171594 0.424059 0.689108 0.001 0 0
62 0.261325 0.164927 0.267123 0.001 0 0
63 0.214576 0.797421 0.42016 0.001 0 0
64 0.59166 0.699152 0.399652 0.001 0 0
65 0.396928 0.756496 0.224682 0.001 0 0
66 0.448486 0.712813 0.187293 0.001 0 0
67 0.31404 0.154465 0.504421 0.001 0 0
68 0.708425 0.402161 0.568375 0.001 0 0
69 0.957283 0.238284 0.911983 0.001 0 0
70 0.729872 0.927553 0.182807 0.001 0 0
71 0.323744 0.236986 0.816335 0.001 0 0
72 0.886235 0.711463 0.124996 0.001 0 0
73 0.4083 0.143322 0.93731 0.001 0 0
74 0.0809857 0.55184 0.0177207 0.001 0 0
75 0.746479 0.341085 0.64968 0.001 0 0
76 0.698864 0.0708358 0.13953 0.001 0 0
77 0.644026 0.235656 0.313759 0.001 0 0
78 0.181597 0.782418 0.153928 0.001 0 0
79 0.596838 0.906662 0.306482 0.001 0 0
80 0.41313 0.249944 0.42872 0.001 0 0
81 0.154161 0.371654 0.391598 0.001 0 0
82 0.181728 0.748756 0.0346203 0.001 0 0
83 0.3777 0.492135 0.317765 0.001 0 0
84 0.989805 0.286398 0.851794 0.001 0 0
85 0.960331 0.983446 0.107143 0.001 0 0
86 0.249553 0.649995 0.961304 0.001 0 0
87 0.920318 0.816212 0.448724 0.001 0 0
88 0.635787 0.697135 0.343698 0.001 0 0
89 0.201832 0.497476 0.383311 0.001 0 0
90 0.684364 0.755347 0.229619 0.001 0 0
91 0.970363 0.0125907 0.538382 0.001 0 0
92 0.720158 0.512829 0.921988 0.001 0 0
93 0.47531 0.676867 0.5078 0.001 0 0
94 0.765006 0.0750175 0.898993 0.001 0 0
95 0.734839 0.407353 0.463571 0.001 0 0
96 0.751148 0.788287 0.872789 0.001 0 0
97 0.0213323 0.879049 0.499013 0.001 0 0
98 0.150082 0.63763 0.485101 0.001 0 0
99 0.99455 0.370883 0.506073 0.001 0 0
100 0.232188 0.487596 0.869327 0.001 0 0
101 0.471064 0.307452 0.638687 0.001 0 0
102 0.304756 0.0337213 0.3723 0.001 0 0
103 0.558572 0.116838 0.525923 0.001 0 0
104 0.726941 0.864181 0.0638966 0.001 0 0
105 0.834114 0.664689 0.499191 0.001 0 0
106 0.76315 0.0994683 0.852189 0.001 0 0
107 0.943644 0.126161 0.380834 0.001 0 0
108 0.617159 0.976407 0.769888 0.001 0 0
109 0.866255 0.52136 0.744194 0.001 0 0
110 0.151086 0.298367 0.438035 0.001 0 0
111 0.890498 0.250281 0.0644668 0.001 0 0
112 0.0926772 0.0985933 0.940907 0.001 0 0
113 0.623451 0.579721 0.896598 0.001 0 0
114 0.320897 0.473395 0.622931 0.001 0 0
115 0.256084 0.0263437 0.728598 0.001 0 0
116 0.999615 0.819566 0.640594 0.001 0 0
117 0.27578 0.3131 0.466102 0.001 0 0
118 0.367253 0.545451 0.914765 0.001 0 0
119 0.0799718 0.788669 0.349876 0.001 0 0
120 0.938695 0.433226 0.393553 0.001 0 0
121 0.466573 0.896531 0.314688 0.001 0 0
122 0.147478 0.713592 0.585247 0.001 0 0
123 0.525718 0.0240003 0.511381 0.001 0 0
124 0.465856 0.325849 0.060737 0.001 0 0
125 0.728983 0.995309 0.125838 0.001 0 0
126 0.0950242 0.642885 0.0914258 0.001 0 0
127 0.802316 0.533585 0.249831 0.001 0 0
128 0.102553 0.834772 0.671708 0.001 0 0
129 0.990966 0.511067 0.247191 0.001 0 0
130 0.960551 0.391842 0.834805 0.001 0 0
131 0.227159 0.93103 0.117119 0.001 0 0
132 0.508322 0.214493 0.122421 0.001 0 0
133 0.572886 0.24426 0.435902 0.001 0 0
134 0.22048 0.559674 0.687249 0.001 0 0
135 0.930096 0.618593 0.738766 0.001 0 0
136 0.657742 0.816498 0.301162 0.001 0 0
137 0.407858 0.173171 0.895047 0.001 0 0
138 0.616243 0.934429 0.738191 0.001 0 0
139 0.766356 0.83805 0.686578 0.001 0 0
140 0.0772403 0.494107 0.404403 0.001 0 0
141 0.0415085 0.0818992 0.89557 0.001 0 0
142 0.834273 0.796082 0.109001 0.001 0 0
143 0.617969 0.973426 0.787885 0.001 0 0
144 0.859232 0.193079 0.254836 0.001 0 0
145 0.999888 0.731886 0.199011 0.001 0 0
146 0.0745861 0.768113 0.772862 0.001 0 0
147 0.656786 0.0698925 0.650597 0.001 0 0
148 0.100685 0.968835 0.298532 0.001 0 0
149 0.864701 0.0224495 0.214672 0.001 0 0
150 0.864582 0.0336785 0.887184 0.001 0 0
151 0.00506603 0.761302 0.758708 0.001 0 0
152 0.619303 0.843262 0.55172 0.001 0 0
153 0.0206366 0.0113027 0.80638 0.001 0 0
154 0.348382 0.549533 0.219245 0.001 0 0
155 0.884489 0.581317 0.732897 0.001 0 0
156 0.172738 0.871841 0.990831 0.001 0 0
157 0.417113 0.273395 0.450558 0.001 0 0
158 0.0833105 0.423439 0.767451 0.001 0 0
159 0.167601 0.501789 0.860094 0.001 0 0
160 0.371618 0.291675 0.855167 0.001 0 0
161 0.481801 0.889023 0.0754525 0.001 0 0
162 0.520144 0.804033 0.265309 0.001 0 0
163 0.212187 0.442054 0.554288 0.001 0 0
164 0.355315 0.762093 0.228511 0.001 0 0
165 0.672661 0.202832 0.342722 0.001 0 0
166 0.990648 0.596742 0.0723787 0.001 0 0
167 0.491007 0.855987 0.38449 0.001 0 0
168 0.435506 0.847448 0.691882 0.001 0 0
169 0.766718 0.133745 0.883464 0.001 0 0
170 0.109858 0.340393 0.894243 0.001 0 0
171 0.771039 0.060009 0.397151 0.001 0 0
172 0.886575 0.0466298 0.558487 0.001 0 0
173 0.186074 0.557829 0.749149 0.001 0 0
174 0.111883 0.968597 0.969105 0.001 0 0
175 0.75505 0.989629 0.636766 0.001 0 0
176 0.604673 0.170268 0.142052 0.001 0 0
177 0.34038 0.729524 0.988413 0.001 0 0
178 0.0364023 0.823254 0.593485 0.001 0 0
179 0.0139006 0.113091 0.895339 0.001 0 0
180 0.517304 0.346205 0.45832 0.001 0 0
181 0.921301 0.463042 0.977563 0.001 0 0
182 0.99768 0.0376241 0.614137 0.001 0 0
183 0.24905 0.771092 0.0663809 0.001 0 0
184 0.701533 0.581855 0.284101 0.001 0 0
185 0.0135147 0.475331 0.645166 0.001 0 0
186 0.23876 0.909434 0.891139 0.001 0 0
187 0.430587 0.142897 0.537644 0.001 0 0
188 0.839552 0.210515 0.814434 0.001 0 0
189 0.605042 0.311853 0.366305 0.001 0 0
190 0.994597 0.908585 0.205199 0.001 0 0
191 0.241597 0.563818 0.267784 0.001 0 0
192 0.0631839 0.68815 0.35563 0.001 0 0
193 0.3838 0.292315 0.385282 0.001 0 0
194 0.751419 0.740259 0.529425 0.001 0 0
195 0.241974 0.576059 0.945791 0.001 0 0
196 0.422644 0.0744517 0.51596 0.001 0 0
197 0.382759 0.130891 0.0972349 0.001 0 0
198 0.796464 0.819436 0.0042592 0.001 0 0
199 0.968251 0.814006 0.327011 0.001 0 0
200 0.657751 0.353948 0.399103 0.001 0 0
201 0.379064 0.867859 0.965902 0.001 0 0
202 0.736729 0.751059 0.904617 0.001 0 0
203 0.255825 0.897828 0.111602 0.001 0 0
204 0.0852088 0.925825 0.548627 0.001 0 0
205 0.497617 0.798023 0.928861 0.001 0 0
206 0.133086 0.167126 0.124279 0.001 0 0
207 0.56165 0.0833668 0.53226 0.001 0 0
208 0.592393 0.0176387 0.760524 0.001 0 0
209 0.314727 0.0334907 0.176085 0.001 0 0
210 0.0993417 0.015269 0.576767 0.001 0 0
211 0.976339 0.495717 0.750292 0.001 0 0
212 0.995736 0.809497 0.632885 0.001 0 0
213 0.942075 0.350999 0.812096 0.001 0 0
214 0.923584 0.4625 0.225102 0.001 0 0
215 0.104568 0.430109 0.674487 0.001 0 0
216 0.500129 0.963388 0.660881 0.001 0 0
217 0.552192 0.495058 0.0594208 0.001 0 0
218 0.146324 0.174412 0.563126 0.001 0 0
219 0.920139 0.280019 0.798221 0.001 0 0
220 0.364804 0.136829 0.470971 0.001 0 0
221 0.0755422 0.190817 0.521322 0.001 0 0
222 0.989367 0.442715 0.603041 0.001 0 0
223 0.247035 0.742328 0.549697 0.001 0 0
224 0.316374 0.633002 0.975749 0.001 0 0
225 0.233961 0.519847 0.682956 0.001 0 0
226 0.268334 0.302383 0.915444 0.001 0 0
227 0.540317 0.555621 0.70733 0.001 0 0
228 0.808207 0.327247 0.998455 0.001 0 0
