 1.00000E+00 7.00000E+00    2251 2.66667E-03
 temperature   HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
 1.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.45605E-11   3.47369E-11   2.66810E-10   2.93554E-11   4.65221E-11   1.33401E-10   0.00000E+00   4.33659E-26   3.58948E-26   2.76339E-25   3.61797E-26   6.42308E-26   6.60252E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.00267E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.44353E-11   3.46017E-11   2.65665E-10   2.92461E-11   4.63084E-11   1.32911E-10   0.00000E+00   4.34720E-26   3.59753E-26   2.76848E-25   3.62638E-26   6.43294E-26   6.61901E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.00533E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.43104E-11   3.44670E-11   2.64525E-10   2.91372E-11   4.60956E-11   1.32423E-10   0.00000E+00   4.35784E-26   3.60559E-26   2.77358E-25   3.63480E-26   6.44283E-26   6.63553E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.00800E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.41860E-11   3.43328E-11   2.63391E-10   2.90286E-11   4.58838E-11   1.31937E-10   0.00000E+00   4.36850E-26   3.61368E-26   2.77869E-25   3.64324E-26   6.45272E-26   6.65210E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.01067E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.40621E-11   3.41991E-11   2.62261E-10   2.89205E-11   4.56730E-11   1.31453E-10   0.00000E+00   4.37919E-26   3.62178E-26   2.78381E-25   3.65169E-26   6.46264E-26   6.66870E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.01333E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.39386E-11   3.40660E-11   2.61135E-10   2.88127E-11   4.54631E-11   1.30970E-10   0.00000E+00   4.38990E-26   3.62990E-26   2.78894E-25   3.66017E-26   6.47256E-26   6.68535E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.01600E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.38155E-11   3.39333E-11   2.60015E-10   2.87054E-11   4.52542E-11   1.30489E-10   0.00000E+00   4.40063E-26   3.63804E-26   2.79408E-25   3.66866E-26   6.48251E-26   6.70203E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.01867E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.36928E-11   3.38012E-11   2.58899E-10   2.85984E-11   4.50463E-11   1.30010E-10   0.00000E+00   4.41139E-26   3.64619E-26   2.79922E-25   3.67717E-26   6.49247E-26   6.71875E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.02133E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.35706E-11   3.36696E-11   2.57789E-10   2.84918E-11   4.48394E-11   1.29533E-10   0.00000E+00   4.42218E-26   3.65437E-26   2.80438E-25   3.68569E-26   6.50244E-26   6.73551E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.02400E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.34489E-11   3.35385E-11   2.56683E-10   2.83856E-11   4.46333E-11   1.29057E-10   0.00000E+00   4.43299E-26   3.66256E-26   2.80955E-25   3.69424E-26   6.51243E-26   6.75231E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
