*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
   0        0       -438.0        0.00
   1       17       -438.0        0.00
   2       35       -438.0        0.00
   3       53       -438.0        0.00
   4       72       -438.0        0.00
   5       91       -438.0        0.00
   6      110       -438.0        0.00
   7      129       -438.0        0.00
   8      149       -442.9       -0.81
   9      170       -437.9        0.02
  10      190       -435.8        0.36
  11      211       -443.7       -0.95
  12      234       -449.1       -1.84
  13      258       -444.6       -1.09
  14      281       -442.5       -0.75
  15      304       -439.3       -0.22
  16      327       -440.9       -0.48
  17      351       -442.5       -0.75
  18      375       -436.6        0.23
  19      397       -430.0        1.33
  20      420       -435.9        0.35
  21      444       -436.9        0.18
  22      469       -438.5       -0.08
  23      495       -444.5       -1.08
  24      523       -446.4       -1.39
  25      552       -447.7       -1.61
  26      581       -443.4       -0.90
  27      609       -441.6       -0.60
  28      637       -438.1       -0.02
  29      665       -439.1       -0.18
  30      695       -445.4       -1.23
  31      726       -447.3       -1.54
  32      757       -443.1       -0.85
  33      788       -438.6       -0.10
  34      817       -439.0       -0.17
  35      848       -442.7       -0.78
  36      881       -442.7       -0.78
  37      912       -439.0       -0.17
  38      944       -439.5       -0.25
  39      976       -439.7       -0.28
  40     1009       -442.9       -0.81
  41     1042       -438.3       -0.05
  42     1074       -436.4        0.27
  43     1107       -443.0       -0.83
  44     1142       -441.9       -0.65
  45     1176       -439.6       -0.27
  46     1211       -441.9       -0.65
  47     1247       -446.9       -1.48
  48     1285       -447.9       -1.64
  49     1321       -440.4       -0.40
  50     1356       -436.0        0.33
  51     1390       -438.3       -0.05
  52     1426       -438.8       -0.13
  53     1461       -438.2       -0.03
  54     1497       -440.8       -0.46
  55     1535       -444.0       -1.00
  56     1573       -443.8       -0.96
  57     1612       -446.0       -1.33
  58     1652       -447.1       -1.51
  59     1692       -443.3       -0.88
  60     1732       -444.4       -1.06
  61     1772       -445.3       -1.21
  62     1812       -445.5       -1.24
  63     1853       -443.8       -0.96
  64     1893       -441.2       -0.53
  65     1931       -437.1        0.15
  66     1970       -439.7       -0.28
  67     2009       -440.7       -0.45
  68     2049       -440.3       -0.38
  69     2089       -441.2       -0.53
  70     2129       -441.7       -0.61
  71     2171       -443.7       -0.95
  72     2212       -442.4       -0.73
  73     2253       -437.3        0.12
  74     2291       -431.0        1.16
  75     2331       -443.9       -0.98
  76     2374       -446.7       -1.44
  77     2418       -442.4       -0.73
  78     2460       -441.8       -0.63
  79     2501       -436.2        0.30
  80     2542       -439.6       -0.27
  81     2585       -446.2       -1.36
  82     2628       -439.0       -0.17
  83     2670       -438.1       -0.02
  84     2713       -445.2       -1.19
  85     2760       -449.9       -1.97
  86     2805       -441.7       -0.61
  87     2847       -434.5        0.58
  88     2889       -440.3       -0.38
  89     2934       -446.1       -1.34
  90     2980       -446.5       -1.41
  91     3026       -442.4       -0.73
  92     3070       -439.5       -0.25
  93     3114       -441.2       -0.53
  94     3158       -438.5       -0.08
  95     3201       -437.1        0.15
  96     3245       -440.6       -0.43
  97     3289       -441.7       -0.61
  98     3334       -439.8       -0.30
  99     3379       -438.8       -0.13
 100     3422       -436.7        0.22
 101     3466       -437.0        0.17
 102     3511       -443.5       -0.91
 103     3558       -443.4       -0.90
 104     3603       -436.2        0.30
 105     3646       -434.1        0.65
 106     3689       -434.5        0.58
 107     3732       -437.8        0.03
 108     3778       -441.8       -0.63
 109     3824       -440.8       -0.46
 110     3870       -438.0        0.00
 111     3915       -439.4       -0.23
 112     3962       -442.0       -0.66
 113     4009       -442.4       -0.73
 114     4057       -442.5       -0.75
 115     4104       -443.5       -0.91
 116     4153       -444.6       -1.09
 117     4202       -444.0       -1.00
 118     4250       -441.2       -0.53
 119     4295       -434.7        0.55
 120     4339       -431.2        1.13
 121     4381       -431.2        1.13
 122     4423       -431.2        1.13
 123     4466       -431.2        1.13
 124     4509       -431.2        1.13
 125     4552       -432.7        0.88
 126     4596       -436.8        0.20
 127     4642       -440.0       -0.33
 128     4690       -443.3       -0.88
 129     4739       -441.5       -0.58
 130     4786       -436.5        0.25
 131     4831       -438.0        0.00
 132     4880       -444.9       -1.14
 133     4929       -442.0       -0.66
 134     4977       -440.2       -0.36
 135     5025       -442.0       -0.66
 136     5072       -437.2        0.13
 137     5118       -436.9        0.18
 138     5165       -440.3       -0.38
 139     5212       -439.3       -0.22
 140     5259       -436.3        0.28
 141     5305       -437.4        0.10
 142     5351       -437.5        0.08
 143     5397       -435.0        0.50
 144     5442       -435.0        0.50
 145     5488       -436.8        0.20
 146     5534       -437.9        0.02
 147     5581       -437.5        0.08
 148     5627       -437.8        0.03
 149     5674       -438.4       -0.06
 150     5721       -438.9       -0.15
 151     5769       -439.5       -0.25
 152     5816       -439.3       -0.22
 153     5863       -437.1        0.15
 154     5909       -435.3        0.45
 155     5955       -438.8       -0.13
 156     6004       -442.4       -0.73
 157     6052       -439.3       -0.21
 158     6099       -436.1        0.32
 159     6145       -439.0       -0.17
 160     6193       -440.2       -0.33
 161     6241       -437.6        0.09
 162     6287       -436.4        0.28
 163     6334       -441.3       -0.55
 164     6385       -447.5       -1.59
 165     6436       -444.4       -1.09
 166     6486       -439.6       -0.31
 167     6534       -441.4       -0.62
 168     6583       -441.5       -0.65
 169     6631       -435.3        0.37
 170     6677       -435.2        0.37
 171     6724       -439.5       -0.36
 172     6773       -442.3       -0.84
 173     6823       -444.9       -1.28
 174     6874       -444.0       -1.14
 175     6924       -440.5       -0.58
 176     6973       -440.5       -0.59
 177     7023       -443.2       -1.05
 178     7074       -444.0       -1.20
 179     7124       -440.5       -0.63
 180     7172       -436.5        0.02
 181     7220       -436.8       -0.04
 182     7267       -437.1       -0.11
 183     7315       -438.1       -0.29
 184     7364       -441.2       -0.81
 185     7413       -439.7       -0.58
 186     7462       -436.0        0.02
 187     7509       -436.2       -0.03
 188     7555       -433.1        0.48
 189     7602       -436.0       -0.02
 190     7649       -435.7        0.02
 191     7697       -436.0       -0.04
 192     7745       -440.0       -0.72
 193     7794       -439.0       -0.57
 194     7844       -440.9       -0.90
 195     7894       -441.0       -0.93
 196     7944       -439.5       -0.69
 197     7994       -438.5       -0.54
 198     8043       -439.0       -0.64
 199     8091       -433.3        0.30
 200     8135       -422.6        2.06
 201     8178       -431.4        0.59
 202     8226       -440.1       -0.87
 203     8276       -439.5       -0.78
 204     8325       -438.0       -0.55
 205     8374       -435.9       -0.21
 206     8422       -436.1       -0.26
 207     8471       -437.6       -0.52
 208     8520       -438.3       -0.65
 209     8569       -438.4       -0.68
 210     8619       -438.6       -0.73
 211     8668       -437.5       -0.56
 212     8716       -432.0        0.34
 213     8763       -433.2        0.13
 214     8811       -438.8       -0.81
 215     8861       -437.0       -0.53
 216     8910       -437.0       -0.54
 217     8960       -439.0       -0.88
 218     9009       -436.5       -0.48
 219     9058       -436.0       -0.41
 220     9107       -437.1       -0.60
 221     9156       -436.5       -0.51
 222     9204       -434.1       -0.13
 223     9252       -431.7        0.26
 224     9298       -433.0        0.03
 225     9346       -435.5       -0.39
 226     9396       -438.0       -0.82
 227     9445       -437.2       -0.70
 228     9494       -433.9       -0.16
 229     9542       -433.8       -0.16
 230     9589       -430.2        0.43
 231     9635       -429.6        0.51
 232     9682       -435.4       -0.46
 233     9732       -437.4       -0.80
 234     9782       -437.6       -0.85
 235     9831       -436.9       -0.74
 236     9881       -434.5       -0.36
 237     9929       -434.5       -0.37
 238     9978       -436.1       -0.65
 239    10027       -433.8       -0.28
 240    10075       -434.9       -0.47
 241    10124       -435.5       -0.58
 242    10172       -430.0        0.31
 243    10218       -428.7        0.52
 244    10265       -432.8       -0.18
 245    10315       -439.5       -1.30
 246    10366       -437.4       -0.97
 247    10415       -434.1       -0.43
 248    10465       -436.0       -0.76
 249    10515       -436.0       -0.77
 250    10564       -436.0       -0.79
 251    10614       -436.6       -0.90
 252    10665       -436.9       -0.96
 253    10715       -435.2       -0.70
 254    10764       -432.5       -0.26
 255    10812       -433.5       -0.44
 256    10861       -434.5       -0.62
 257    10910       -431.6       -0.15
 258    10957       -431.3       -0.12
 259    11005       -431.9       -0.23
 260    11053       -430.3        0.02
 261    11100       -429.8        0.09
 262    11146       -425.8        0.74
 263    11191       -425.3        0.81
 264    11237       -431.2       -0.18
 265    11286       -433.0       -0.48
 266    11334       -431.7       -0.27
 267    11383       -434.5       -0.73
 268    11434       -437.4       -1.22
 269    11485       -437.8       -1.29
 270    11537       -439.5       -1.57
 271    11590       -439.6       -1.59
 272    11642       -439.7       -1.61
 273    11695       -441.0       -1.83
 274    11749       -443.2       -2.20
 275    11805       -444.2       -2.37
 276    11861       -447.1       -2.85
 277    11918       -445.3       -2.55
 278    11973       -443.1       -2.19
 279    12029       -447.0       -2.84
 280    12087       -448.5       -3.09
 281    12144       -446.5       -2.77
 282    12202       -447.3       -2.90
 283    12261       -453.2       -3.88
 284    12323       -455.0       -4.18
 285    12385       -453.6       -3.96
 286    12446       -451.5       -3.61
 287    12507       -452.4       -3.76
 288    12569       -455.3       -4.25
 289    12632       -455.3       -4.25
 290    12694       -453.3       -3.91
 291    12755       -451.2       -3.57
 292    12815       -449.2       -3.24
 293    12874       -450.2       -3.40
 294    12934       -450.8       -3.50
 295    12994       -451.8       -3.67
 296    13055       -452.9       -3.85
 297    13116       -452.3       -3.75
 298    13177       -452.1       -3.72
 299    13237       -450.5       -3.45
 300    13296       -448.8       -3.17
 301    13355       -448.8       -3.17
 302    13414       -451.8       -3.67
 303    13476       -455.5       -4.28
 304    13539       -453.9       -4.02
 305    13600       -451.2       -3.57
 306    13659       -449.4       -3.27
 307    13718       -447.2       -2.91
 308    13774       -442.9       -2.19
 309    13828       -442.0       -2.04
 310    13883       -443.2       -2.24
 311    13938       -442.1       -2.06
 312    13992       -443.7       -2.32
 313    14048       -445.2       -2.57
 314    14105       -446.8       -2.83
 315    14163       -448.3       -3.08
 316    14221       -449.9       -3.34
 317    14281       -451.4       -3.60
 318    14342       -453.0       -3.85
 319    14404       -454.5       -4.11
 320    14466       -451.7       -3.64
 321    14526       -452.8       -3.82
 322    14589       -456.0       -4.34
 323    14651       -453.8       -3.98
 324    14713       -453.5       -3.92
 325    14775       -454.8       -4.14
 326    14839       -457.1       -4.52
 327    14904       -458.1       -4.68
 328    14968       -456.7       -4.44
 329    15032       -458.0       -4.66
 330    15099       -462.0       -5.32
 331    15167       -462.5       -5.40
 332    15234       -460.1       -5.00
 333    15300       -459.0       -4.81
 334    15366       -458.6       -4.74
 335    15432       -461.1       -5.15
 336    15501       -464.5       -5.71
 337    15570       -463.8       -5.60
 338    15639       -462.9       -5.44
 339    15708       -463.7       -5.57
 340    15777       -462.0       -5.29
 341    15845       -462.4       -5.35
 342    15915       -467.5       -6.19
 343    15987       -466.3       -5.99
 344    16057       -464.9       -5.75
 345    16128       -466.9       -6.08
 346    16201       -468.5       -6.34
 347    16275       -470.9       -6.74
 348    16350       -471.8       -6.88
 349    16426       -471.8       -6.88
 350    16502       -471.0       -6.74
 351    16577       -471.2       -6.77
 352    16653       -472.4       -6.97
 353    16729       -473.6       -7.16
 354    16808       -475.6       -7.49
 355    16889       -480.7       -8.33
 356    16974       -481.8       -8.51
 357    17058       -479.0       -8.04
 358    17139       -476.4       -7.60
 359    17219       -476.0       -7.53
 360    17298       -475.5       -7.45
 361    17379       -479.4       -8.09
 362    17462       -480.5       -8.27
 363    17544       -477.0       -7.68
 364    17625       -477.6       -7.78
 365    17706       -478.0       -7.84
 366    17787       -477.9       -7.82
 367    17868       -477.3       -7.72
 368    17949       -477.5       -7.75
 369    18031       -480.2       -8.19
 370    18116       -482.8       -8.63
 371    18201       -480.0       -8.16
 372    18283       -478.4       -7.89
 373    18365       -477.5       -7.74
 374    18446       -478.9       -7.97
 375    18530       -482.1       -8.50
 376    18615       -481.7       -8.43
 377    18701       -483.5       -8.73
 378    18787       -481.9       -8.46
 379    18870       -476.6       -7.58
 380    18950       -476.9       -7.63
 381    19032       -479.8       -8.11
 382    19116       -480.7       -8.26
 383    19199       -479.4       -8.03
 384    19282       -478.0       -7.81
 385    19362       -476.4       -7.54
 386    19443       -477.4       -7.70
 387    19525       -480.1       -8.15
 388    19610       -481.9       -8.45
 389    19696       -483.5       -8.71
 390    19782       -482.4       -8.52
 391    19868       -482.9       -8.61
 392    19953       -479.2       -7.99
 393    20035       -477.0       -7.62
 394    20116       -478.3       -7.84
 395    20197       -476.4       -7.52
 396    20278       -478.2       -7.82
 397    20361       -480.0       -8.11
 398    20444       -479.8       -8.08
 399    20528       -479.5       -8.03
 400    20611       -479.6       -8.04
 401    20694       -479.1       -7.96
 402    20777       -478.6       -7.87
 403    20859       -479.0       -7.94
 404    20943       -480.1       -8.12
 405    21026       -480.0       -8.10
 406    21110       -479.0       -7.93
 407    21192       -478.9       -7.91
 408    21275       -478.9       -7.91
 409    21358       -479.5       -8.00
 410    21442       -480.0       -8.09
 411    21525       -477.8       -7.73
 412    21605       -475.6       -7.36
 413    21686       -477.4       -7.66
 414    21769       -480.9       -8.24
 415    21854       -481.5       -8.33
 416    21939       -480.2       -8.12
 417    22023       -480.4       -8.15
 418    22108       -482.0       -8.41
 419    22196       -484.5       -8.82
 420    22284       -484.5       -8.82
 421    22371       -482.3       -8.45
 422    22457       -481.4       -8.30
 423    22543       -481.9       -8.37
 424    22629       -482.3       -8.45
 425    22716       -482.8       -8.52
 426    22803       -483.2       -8.59
 427    22888       -479.5       -7.97
 428    22972       -479.2       -7.92
 429    23057       -482.7       -8.50
 430    23145       -484.5       -8.80
 431    23234       -485.1       -8.89
 432    23324       -485.8       -9.01
 433    23412       -483.0       -8.54
 434    23497       -478.3       -7.76
 435    23581       -481.0       -8.20
 436    23668       -483.6       -8.63
 437    23755       -483.6       -8.63
 438    23843       -483.6       -8.63
 439    23931       -482.5       -8.44
 440    24017       -481.4       -8.26
 441    24102       -480.0       -8.03
 442    24186       -479.1       -7.87
 443    24272       -484.0       -8.68
 444    24363       -488.3       -9.39
 445    24453       -482.7       -8.46
 446    24537       -477.1       -7.53
 447    24619       -477.0       -7.51
 448    24700       -477.0       -7.50
 449    24781       -475.5       -7.25
 450    24860       -474.0       -7.00
 451    24941       -477.5       -7.57
 452    25024       -480.9       -8.14
 453    25109       -480.0       -7.98
 454    25193       -479.1       -7.83
 455    25277       -478.2       -7.68
 456    25360       -479.5       -7.89
 457    25445       -481.8       -8.27
 458    25531       -481.0       -8.13
 459    25615       -478.4       -7.70
 460    25697       -474.5       -7.05
 461    25776       -474.1       -6.98
 462    25855       -475.8       -7.26
 463    25936       -476.0       -7.29
 464    26017       -477.1       -7.47
 465    26099       -477.2       -7.48
 466    26180       -475.3       -7.16
 467    26261       -475.8       -7.24
 468    26342       -477.7       -7.55
 469    26425       -479.3       -7.82
 470    26510       -480.7       -8.05
 471    26595       -481.0       -8.09
 472    26681       -481.0       -8.09
 473    26766       -478.9       -7.74
 474    26849       -477.8       -7.56
 475    26933       -479.9       -7.90
 476    27019       -484.4       -8.64
 477    27110       -486.7       -9.02
 478    27202       -486.7       -9.02
 479    27293       -485.5       -8.82
 480    27382       -484.3       -8.62
 481    27470       -481.4       -8.14
 482    27555       -479.6       -7.84
 483    27641       -482.3       -8.28
 484    27730       -484.6       -8.66
 485    27819       -483.8       -8.52
 486    27907       -482.3       -8.27
 487    27993       -481.2       -8.09
 488    28079       -480.1       -7.90
 489    28163       -478.9       -7.69
 490    28247       -477.6       -7.49
 491    28331       -481.7       -8.16
 492    28420       -485.7       -8.82
 493    28510       -483.6       -8.47
 494    28597       -481.5       -8.12
 495    28683       -479.4       -7.77
 496    28766       -477.2       -7.42
 497    28848       -475.1       -7.07
 498    28927       -473.0       -6.71
 499    29006       -473.0       -6.71
 500    29085       -474.6       -6.98
 501    29166       -476.2       -7.25
 502    29249       -477.9       -7.52
 503    29332       -479.5       -7.79
 504    29418       -481.1       -8.05
 505    29505       -482.9       -8.35
 506    29594       -483.0       -8.37
 507    29682       -482.8       -8.33
 508    29771       -484.3       -8.58
 509    29861       -483.4       -8.43
 510    29949       -482.6       -8.30
 511    30036       -480.5       -7.95
 512    30120       -475.6       -7.14
 513    30201       -474.9       -7.02
 514    30283       -478.5       -7.62
 515    30368       -479.8       -7.83
 516    30453       -479.3       -7.75
 517    30538       -478.6       -7.64
 518    30622       -478.0       -7.52
 519    30705       -477.3       -7.41
 520    30788       -476.6       -7.30
 521    30871       -478.6       -7.63
 522    30957       -480.5       -7.95
 523    31043       -480.8       -8.00
 524    31130       -481.1       -8.05
 525    31216       -479.9       -7.85
 526    31302       -478.7       -7.65
 527    31387       -479.4       -7.77
 528    31473       -481.0       -8.03
 529    31560       -482.0       -8.20
 530    31648       -480.4       -7.93
 531    31733       -477.2       -7.40
 532    31815       -475.6       -7.14
 533    31896       -473.4       -6.77
 534    31976       -473.2       -6.74
 535    32056       -473.5       -6.79
 536    32137       -475.3       -7.09
 537    32219       -476.4       -7.27
 538    32300       -472.4       -6.61
 539    32380       -475.2       -7.07
 540    32463       -477.7       -7.49
 541    32546       -474.7       -6.99
 542    32626       -472.5       -6.62
 543    32705       -473.0       -6.71
 544    32787       -477.6       -7.47
 545    32871       -477.6       -7.47
 546    32955       -476.5       -7.29
 547    33039       -478.3       -7.59
 548    33124       -478.4       -7.60
 549    33209       -478.4       -7.60
 550    33293       -476.8       -7.34
 551    33376       -475.2       -7.07
 552    33459       -477.4       -7.44
 553    33544       -478.0       -7.54
 554    33628       -476.6       -7.31
 555    33711       -475.5       -7.12
 556    33793       -475.8       -7.17
 557    33877       -476.9       -7.36
 558    33960       -475.8       -7.17
 559    34041       -471.9       -6.53
 560    34121       -474.0       -6.88
 561    34202       -473.3       -6.76
 562    34281       -470.2       -6.25
 563    34360       -472.3       -6.59
 564    34438       -469.2       -6.08
 565    34515       -468.8       -6.01
 566    34592       -469.6       -6.15
 567    34669       -467.9       -5.87
 568    34744       -466.9       -5.70
 569    34818       -463.5       -5.14
 570    34889       -461.6       -4.82
 571    34960       -463.0       -5.05
 572    35033       -465.8       -5.52
 573    35108       -468.6       -5.98
