#       RADIUS          VC_TOT      PSIMAJ_TOT            PSI2
#
   0.0000000       0.0000000      -55.895962      -1.7226110    
  0.25000000E-01  0.54492313      -55.313675      -2.8369083    
  0.50000001E-01   1.0901752      -54.731407      -3.9512055    
  0.75000003E-01   1.3149347      -54.151260      -23.365089    
  0.10000000       1.4945803      -53.571110      -42.769226    
  0.12500000       1.6322067      -53.038464      -41.757553    
  0.15000001       1.7444699      -52.505806      -40.745884    
  0.17500000       1.8404361      -52.022472      -37.993584    
  0.20000000       1.9195380      -51.539124      -35.241283    
  0.22500001       1.9909508      -51.099209      -32.693451    
  0.25000000       2.0500853      -50.659286      -30.145620    
  0.27500001       2.1053960      -50.256763      -28.007410    
  0.30000001       2.1512568      -49.854214      -25.869198    
  0.32500002       2.1953323      -49.483860      -24.102587    
  0.34999999       2.2318621      -49.113472      -22.335978    
  0.37500000       2.2677805      -48.770905      -20.873968    
  0.40000001       2.2975111      -48.428333      -19.411959    
  0.42500001       2.3273337      -48.109966      -18.193846    
  0.45000002       2.3519809      -47.791576      -16.975737    
  0.47499999       2.3771591      -47.494389      -15.953289    
  0.50000000       2.3979437      -47.197178      -14.930843    
  0.52500004       2.4195242      -46.918568      -14.066854    
  0.55000001       2.4373302      -46.639961      -13.202866    
  0.57499999       2.4560952      -46.377853      -12.467592    
  0.60000002       2.4715848      -46.115704      -11.732319    
  0.62500000       2.4881208      -45.868179      -11.103030    
  0.65000004       2.5017912      -45.620651      -10.473742    
  0.67500001       2.5165517      -45.386215      -9.9317560    
  0.69999999       2.5287862      -45.151783      -9.3897696    
  0.72500002       2.5421150      -44.929005      -8.9210081    
  0.75000000       2.5532022      -44.706207      -8.4522448    
  0.77500004       2.5653763      -44.493977      -8.0444727    
  0.80000001       2.5755525      -44.281750      -7.6367002    
  0.82499999       2.5867903      -44.079060      -7.2804484    
  0.85000002       2.5962377      -43.876362      -6.9241962    
  0.87500000       2.6067066      -43.682228      -6.6119065    
  0.90000004       2.6155641      -43.488102      -6.2996168    
  0.92500001       2.6254058      -43.301849      -6.0245295    
  0.94999999       2.6337903      -43.115597      -5.7494421    
  0.97500002       2.6431150      -42.936531      -5.5063210    
   1.0000000       2.6511178      -42.757469      -5.2631998    
   1.0250000       2.6600096      -42.584934      -5.0477390    
   1.0500001       2.6676886      -42.412331      -4.8322783    
   1.0750000       2.6762133      -42.245762      -4.6405606    
   1.1000000       2.6836374      -42.079205      -4.4488435    
   1.1250000       2.6918616      -41.918198      -4.2777586    
   1.1500000       2.6990776      -41.757198      -4.1066728    
   1.1750001       2.7070491      -41.601330      -3.9535275    
   1.2000000       2.7140932      -41.445454      -3.8003817    
   1.2250000       2.7218459      -41.294308      -3.6630118    
   1.2500000       2.7287323      -41.143055      -3.5256424    
   1.2750000       2.7362871      -40.996204      -3.4020762    
   1.3000001       2.7430520      -40.849361      -3.2785103    
   1.3250000       2.7504458      -40.706615      -3.1670167    
   1.3500000       2.7571077      -40.563873      -3.0555232    
   1.3750000       2.7643614      -40.424946      -2.9546952    
   1.4000000       2.7709348      -40.286018      -2.8538671    
   1.4250001       2.7780643      -40.150658      -2.7624888    
   1.4500000       2.7845604      -40.015293      -2.6711104    
   1.4750000       2.7915642      -39.883209      -2.5881872    
   1.5000000       2.7979627      -39.751057      -2.5052638    
   1.5250000       2.8048487      -39.622044      -2.4298053    
   1.5500001       2.8111820      -39.493027      -2.3543468    
   1.5750000       2.8179729      -39.366947      -2.2855229    
   1.6000000       2.8242459      -39.240868      -2.2166994    
   1.6250000       2.8309484      -39.117573      -2.1538196    
   1.6500000       2.8371649      -38.994263      -2.0909400    
   1.6750001       2.8437841      -38.873573      -2.0333676    
   1.7000000       2.8499463      -38.752872      -1.9757955    
   1.7250000       2.8564868      -38.634651      -1.9229519    
   1.7500000       2.8625968      -38.516434      -1.8701082    
   1.7750000       2.8690324      -38.400452      -1.8216319    
   1.8000001       2.8750532      -38.284451      -1.7731553    
   1.8250000       2.8814054      -38.170662      -1.7285156    
   1.8500000       2.8873725      -38.056877      -1.6838758    
