 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   15.1600   15.1600    4.2856    0.5951    4.5371    0.0000  1.0000E-10      0.0000  2.5255E+03
    0.7048    1.0000   15.1590   15.1590    4.2959    0.6044    4.5350    0.0000  1.0000E-10      0.0000  2.4726E+03
    1.4097    1.0000   15.1580   15.1580    4.3074    0.6139    4.5332    0.0000  1.0000E-10     -0.0001  2.4195E+03
    2.1147    1.0000   15.1569   15.1569    4.3200    0.6235    4.5315    0.0000  1.0000E-10     -0.0002  2.3658E+03
    2.8197    1.0000   15.1558   15.1558    4.3339    0.6336    4.5300    0.0000  1.0000E-10     -0.0004  2.3108E+03
    3.5248    1.0000   15.1545   15.1545    4.3489    0.6440    4.5285    0.0000  1.0000E-10     -0.0007  2.2540E+03
    4.2299    1.0000   15.1532   15.1532    4.3651    0.6551    4.5270    0.0000  1.0000E-10     -0.0011  2.1949E+03
    4.9352    1.0000   15.1518   15.1518    4.3825    0.6668    4.5255    0.0000  1.0000E-10     -0.0017  2.1331E+03
    5.6405    1.0000   15.1502   15.1502    4.4011    0.6793    4.5239    0.0000  1.0000E-10     -0.0024  2.0681E+03
    6.3460    1.0000   15.1485   15.1485    4.4209    0.6928    4.5221    0.0000  1.0000E-10     -0.0032  1.9995E+03
    7.0515    1.0000   15.1466   15.1466    4.4418    0.7073    4.5201    0.0000  1.0000E-10     -0.0043  1.9268E+03
    7.7572    1.0000   15.1445   15.1445    4.4639    0.7232    4.5177    0.0000  1.0000E-10     -0.0056  1.8495E+03
    8.4629    1.0000   15.1422   15.1422    4.4872    0.7405    4.5148    0.0000  1.0000E-10     -0.0072  1.7669E+03
    9.1689    1.0000   15.1396   15.1396    4.5117    0.7598    4.5113    0.0000  1.0000E-10     -0.0091  1.6778E+03
    9.8750    1.0000   15.1367   15.1367    4.5373    0.7815    4.5068    0.0000  1.0000E-10     -0.0115  1.5805E+03
   10.5813    1.0000   15.1335   15.1335    4.5641    0.8068    4.5009    0.0000  1.0000E-10     -0.0143  1.4724E+03
