 Entrer le temps:
    0.24500000000000
   i       r         u         rho         p          e
    1  4.883E-04  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    2  1.465E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    3  2.441E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    4  3.418E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    5  4.395E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    6  5.371E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    7  6.348E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    8  7.324E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
    9  8.301E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   10  9.277E-03  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   11  1.025E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   12  1.123E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   13  1.221E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   14  1.318E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   15  1.416E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   16  1.514E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   17  1.611E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   18  1.709E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   19  1.807E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   20  1.904E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   21  2.002E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   22  2.100E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   23  2.197E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   24  2.295E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   25  2.393E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   26  2.490E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   27  2.588E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   28  2.686E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   29  2.783E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   30  2.881E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   31  2.979E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   32  3.076E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   33  3.174E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   34  3.271E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   35  3.369E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   36  3.467E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
