 0.00000E+00 9.00000E+00    2251 4.00000E-03
 LogT          HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               cen92         cen92         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         cen92         cen92         cen92         cen92         
 0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.34389E-10   1.50000E-10   1.33756E-09   1.15238E-10   2.61613E-10   5.24913E-10   0.00000E+00   3.46331E-26   1.55000E-26   1.38533E-25   1.41724E-26   3.61196E-26   2.54766E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 4.00000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.32240E-10   1.49125E-10   1.32896E-09   1.14607E-10   2.59812E-10   5.22058E-10   0.00000E+00   3.47290E-26   1.55522E-26   1.38916E-25   1.42264E-26   3.62029E-26   2.55752E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 8.00000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.30105E-10   1.48255E-10   1.32042E-09   1.13981E-10   2.58024E-10   5.19219E-10   0.00000E+00   3.48250E-26   1.56045E-26   1.39300E-25   1.42806E-26   3.62863E-26   2.56741E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.27983E-10   1.47390E-10   1.31193E-09   1.13357E-10   2.56247E-10   5.16396E-10   0.00000E+00   3.49214E-26   1.56570E-26   1.39685E-25   1.43349E-26   3.63700E-26   2.57734E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.25875E-10   1.46530E-10   1.30350E-09   1.12737E-10   2.54483E-10   5.13588E-10   0.00000E+00   3.50180E-26   1.57097E-26   1.40072E-25   1.43895E-26   3.64538E-26   2.58730E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.23781E-10   1.45675E-10   1.29512E-09   1.12121E-10   2.52731E-10   5.10794E-10   0.00000E+00   3.51149E-26   1.57625E-26   1.40459E-25   1.44443E-26   3.65379E-26   2.59731E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.40000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.21700E-10   1.44825E-10   1.28680E-09   1.11507E-10   2.50992E-10   5.08016E-10   0.00000E+00   3.52120E-26   1.58156E-26   1.40848E-25   1.44992E-26   3.66221E-26   2.60735E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.80000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.19632E-10   1.43980E-10   1.27853E-09   1.10897E-10   2.49264E-10   5.05254E-10   0.00000E+00   3.53094E-26   1.58688E-26   1.41238E-25   1.45544E-26   3.67065E-26   2.61743E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 3.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.17578E-10   1.43140E-10   1.27031E-09   1.10291E-10   2.47548E-10   5.02505E-10   0.00000E+00   3.54071E-26   1.59222E-26   1.41628E-25   1.46098E-26   3.67911E-26   2.62755E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
