 0.00000E+00 9.00000E+00    2251 4.00000E-03
 Log T         HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         hui97         cen92         cen92         cen92         cen92         
 0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.38589E-10   1.74501E-10   6.37370E-10   1.15238E-10   2.61613E-10   5.24913E-10   0.00000E+00   1.76923E-26   2.40924E-26   3.30876E-25   1.41724E-26   3.61196E-26   2.54766E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 4.00000E-03   0.00000E+00   0.00000E+00   0.00000E+00   1.37824E-10   1.73453E-10   6.33857E-10   1.14607E-10   2.59812E-10   5.22058E-10   0.00000E+00   1.77555E-26   2.41693E-26   3.32061E-25   1.42264E-26   3.62029E-26   2.55752E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 8.00000E-03   0.00000E+00   0.00000E+00   0.00000E+00   1.37063E-10   1.72411E-10   6.30363E-10   1.13981E-10   2.58024E-10   5.19219E-10   0.00000E+00   1.78189E-26   2.42465E-26   3.33250E-25   1.42806E-26   3.62863E-26   2.56741E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.36307E-10   1.71376E-10   6.26888E-10   1.13357E-10   2.56247E-10   5.16396E-10   0.00000E+00   1.78826E-26   2.43239E-26   3.34443E-25   1.43349E-26   3.63700E-26   2.57734E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.35555E-10   1.70346E-10   6.23433E-10   1.12737E-10   2.54483E-10   5.13588E-10   0.00000E+00   1.79465E-26   2.44015E-26   3.35640E-25   1.43895E-26   3.64538E-26   2.58730E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.34806E-10   1.69323E-10   6.19997E-10   1.12121E-10   2.52731E-10   5.10794E-10   0.00000E+00   1.80106E-26   2.44794E-26   3.36842E-25   1.44443E-26   3.65379E-26   2.59731E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.40000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.34062E-10   1.68307E-10   6.16579E-10   1.11507E-10   2.50992E-10   5.08016E-10   0.00000E+00   1.80749E-26   2.45575E-26   3.38048E-25   1.44992E-26   3.66221E-26   2.60735E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.80000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.33322E-10   1.67296E-10   6.13181E-10   1.10897E-10   2.49264E-10   5.05254E-10   0.00000E+00   1.81394E-26   2.46359E-26   3.39258E-25   1.45544E-26   3.67065E-26   2.61743E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 3.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.32586E-10   1.66291E-10   6.09801E-10   1.10291E-10   2.47548E-10   5.02505E-10   0.00000E+00   1.82042E-26   2.47146E-26   3.40472E-25   1.46098E-26   3.67911E-26   2.62755E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 3.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.31854E-10   1.65292E-10   6.06439E-10   1.09687E-10   2.45844E-10   4.99772E-10   0.00000E+00   1.82693E-26   2.47934E-26   3.41691E-25   1.46653E-26   3.68759E-26   2.63770E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 4.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   1.31127E-10   1.64300E-10   6.03097E-10   1.09087E-10   2.44151E-10   4.97054E-10   0.00000E+00   1.83345E-26   2.48726E-26   3.42915E-25   1.47211E-26   3.69609E-26   2.64790E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
